Zip.Code,Population,Growth.Rate,Med.HH.Inc,Avg.HH.Inc,Med.Age,Households,HH.Size,Health.Insurance,HS.Diploma,Bachelor.Degree,Grad.Degree,Businesses,Diversity.Index,Dental.Services,Management,Finance,Computer,Engineering,Social.Science,Community.Service,Legal,Education,Arts,Healthcare,Healthcare.Support,Protective.Service,Food.Prep,Maintenance,Personal.Care,Sales,Office.Admin,Farming,Construction,Repair,Production,Transportation
84072 (Tabiona),611.00,0.03,49727.00,58108.00,48.10,213.00,2.87,673804.00,147.00,32.00,15.00,23.00,22.80,62033.00,17.00,1.00,0.00,0.00,3.00,1.00,0.00,17.00,0.00,2.00,2.00,7.00,11.00,4.00,3.00,4.00,9.00,0.00,30.00,9.00,5.00,15.00
84071 (Stockton),1375.00,0.02,80161.00,92777.00,33.30,421.00,3.27,1686893.00,200.00,73.00,54.00,13.00,20.20,178612.00,61.00,64.00,8.00,5.00,7.00,4.00,1.00,10.00,12.00,41.00,14.00,6.00,32.00,11.00,19.00,32.00,116.00,1.00,57.00,25.00,18.00,20.00
84081 (West Jordan),46331.00,0.02,76948.00,86041.00,26.40,11907.00,3.87,42829477.00,5133.00,4491.00,1515.00,349.00,56.50,4565580.00,2371.00,1119.00,657.00,504.00,98.00,220.00,124.00,1207.00,329.00,771.00,489.00,530.00,769.00,360.00,735.00,2754.00,4058.00,63.00,1111.00,631.00,1666.00,1434.00
84069 (Rush Valley),580.00,0.01,61198.00,71719.00,39.20,213.00,2.72,741615.00,110.00,52.00,12.00,10.00,24.80,74297.00,25.00,8.00,0.00,3.00,2.00,2.00,1.00,23.00,2.00,5.00,0.00,7.00,3.00,7.00,5.00,19.00,37.00,7.00,48.00,13.00,9.00,14.00
84341 (Logan),22672.00,0.02,45941.00,63418.00,26.10,7674.00,2.88,19463237.00,1598.00,3134.00,2358.00,920.00,40.30,2009062.00,985.00,455.00,294.00,235.00,129.00,112.00,25.00,1040.00,222.00,398.00,139.00,99.00,631.00,292.00,496.00,1302.00,1455.00,168.00,484.00,161.00,873.00,429.00
84340 (Willard),3871.00,0.02,62003.00,79693.00,33.70,1244.00,3.11,4475985.00,586.00,390.00,142.00,79.00,25.00,472690.00,159.00,127.00,25.00,77.00,11.00,26.00,3.00,76.00,22.00,51.00,62.00,31.00,56.00,58.00,61.00,241.00,233.00,26.00,52.00,54.00,175.00,134.00
84339 (Wellsville),5393.00,0.01,58800.00,76168.00,28.80,1554.00,3.41,5265198.00,765.00,636.00,272.00,90.00,22.10,525451.00,268.00,80.00,46.00,102.00,31.00,20.00,11.00,152.00,27.00,49.00,44.00,49.00,71.00,121.00,80.00,260.00,324.00,28.00,81.00,69.00,307.00,134.00
84338 (Trenton),465.00,0.00,54794.00,65827.00,28.90,146.00,3.18,439490.00,66.00,42.00,9.00,12.00,41.80,43889.00,30.00,17.00,1.00,5.00,2.00,0.00,1.00,9.00,1.00,6.00,4.00,1.00,6.00,13.00,7.00,9.00,13.00,29.00,8.00,12.00,15.00,17.00
84337 (Tremonton),12195.00,0.01,57393.00,69634.00,29.00,3786.00,3.21,11693247.00,1626.00,888.00,354.00,390.00,33.80,1206145.00,493.00,99.00,109.00,180.00,35.00,62.00,22.00,82.00,14.00,178.00,124.00,69.00,193.00,150.00,73.00,488.00,737.00,231.00,297.00,94.00,659.00,657.00
84336 (Snowville),402.00,0.01,57486.00,71237.00,33.20,132.00,3.02,485253.00,85.00,45.00,5.00,18.00,35.60,45861.00,53.00,4.00,0.00,1.00,0.00,0.00,0.00,13.00,0.00,3.00,1.00,1.00,8.00,6.00,2.00,11.00,6.00,35.00,7.00,1.00,9.00,17.00
84335 (Smithfield),13146.00,0.02,58405.00,72762.00,29.20,3913.00,3.35,12434890.00,1955.00,1572.00,576.00,274.00,26.90,1280844.00,563.00,367.00,172.00,78.00,39.00,54.00,38.00,451.00,77.00,259.00,111.00,78.00,236.00,140.00,139.00,432.00,821.00,85.00,418.00,154.00,637.00,423.00
84070 (Sandy),27936.00,0.02,56392.00,67852.00,32.80,9844.00,2.81,28314990.00,4080.00,3473.00,1399.00,2516.00,49.30,2971890.00,1545.00,973.00,407.00,324.00,35.00,138.00,133.00,770.00,179.00,444.00,259.00,211.00,697.00,575.00,420.00,1528.00,2558.00,22.00,796.00,386.00,963.00,896.00
84107 (Salt Lake City),34842.00,0.01,49283.00,61801.00,33.50,14470.00,2.40,37521514.00,4393.00,4635.00,2238.00,3105.00,50.70,3873692.00,1615.00,947.00,752.00,202.00,112.00,284.00,115.00,871.00,349.00,1055.00,593.00,268.00,1257.00,473.00,462.00,2042.00,3050.00,10.00,974.00,631.00,1297.00,1399.00
84083 (Wendover),1737.00,0.01,32478.00,44049.00,29.70,596.00,2.91,1049530.00,304.00,76.00,23.00,92.00,77.10,110108.00,36.00,19.00,0.00,2.00,4.00,1.00,0.00,19.00,7.00,9.00,0.00,31.00,144.00,121.00,129.00,92.00,53.00,42.00,48.00,25.00,37.00,18.00
84105 (Salt Lake City),23709.00,0.01,62918.00,86151.00,34.60,10111.00,2.29,35653867.00,1681.00,5621.00,4272.00,579.00,33.40,3869631.00,1771.00,846.00,461.00,323.00,289.00,224.00,349.00,1479.00,642.00,1306.00,192.00,101.00,842.00,222.00,590.00,1688.00,1392.00,38.00,372.00,119.00,434.00,321.00
84104 (Salt Lake City),25950.00,0.01,39614.00,48512.00,28.20,7231.00,3.56,14419054.00,3374.00,1277.00,404.00,1974.00,87.50,1520481.00,461.00,176.00,190.00,95.00,20.00,93.00,60.00,287.00,97.00,240.00,330.00,124.00,1059.00,903.00,106.00,843.00,1351.00,0.00,1260.00,293.00,1654.00,1277.00
84103 (Salt Lake City),23239.00,0.01,56248.00,94783.00,34.80,11399.00,2.00,44017632.00,1500.00,5482.00,4908.00,566.00,36.50,4642739.00,1522.00,923.00,608.00,263.00,519.00,244.00,532.00,1449.00,763.00,1174.00,167.00,106.00,598.00,330.00,557.00,1161.00,1515.00,0.00,182.00,120.00,449.00,445.00
84102 (Salt Lake City),18403.00,0.01,35256.00,53040.00,29.70,9468.00,1.88,19989421.00,1459.00,3721.00,3157.00,947.00,49.10,2003660.00,955.00,675.00,471.00,303.00,292.00,222.00,151.00,1363.00,489.00,762.00,243.00,103.00,1030.00,265.00,271.00,1165.00,1622.00,15.00,196.00,213.00,226.00,470.00
84101 (Salt Lake City),6278.00,0.02,29307.00,51703.00,35.80,3130.00,1.70,6374431.00,710.00,1219.00,619.00,1884.00,63.90,644560.00,447.00,234.00,235.00,96.00,102.00,44.00,41.00,151.00,164.00,169.00,7.00,35.00,271.00,113.00,94.00,230.00,474.00,0.00,8.00,119.00,113.00,212.00
84098 (Park City),19557.00,0.02,111830.00,142698.00,40.00,6946.00,2.81,40564428.00,1000.00,4885.00,3489.00,1110.00,28.10,4491784.00,2169.00,819.00,368.00,292.00,49.00,113.00,121.00,936.00,334.00,772.00,44.00,255.00,709.00,291.00,276.00,1317.00,908.00,4.00,264.00,113.00,186.00,545.00
84097 (Orem),22899.00,0.01,71147.00,89250.00,30.00,6473.00,3.51,25144957.00,1801.00,3693.00,1966.00,1025.00,37.40,2693574.00,1179.00,485.00,492.00,105.00,9.00,112.00,85.00,1047.00,290.00,572.00,227.00,166.00,474.00,391.00,364.00,988.00,1417.00,51.00,271.00,162.00,528.00,428.00
84096 (Herriman),44749.00,0.03,76550.00,95634.00,25.70,11494.00,3.89,44653751.00,4072.00,5351.00,1977.00,455.00,27.30,4854840.00,2999.00,1904.00,757.00,560.00,27.00,149.00,50.00,514.00,121.00,1091.00,493.00,532.00,675.00,614.00,658.00,2068.00,3522.00,130.00,1256.00,788.00,499.00,530.00
84106 (Salt Lake City),33756.00,0.01,56682.00,72991.00,34.60,13766.00,2.43,43011341.00,4280.00,5935.00,3179.00,1575.00,43.10,4505129.00,1819.00,756.00,483.00,423.00,285.00,411.00,258.00,1364.00,691.00,1335.00,244.00,309.00,1138.00,478.00,527.00,1613.00,2813.00,13.00,576.00,531.00,634.00,830.00
84094 (Sandy),29312.00,0.01,69205.00,81270.00,33.70,9486.00,3.08,33213247.00,3519.00,4469.00,1936.00,798.00,34.70,3542679.00,1605.00,1046.00,568.00,362.00,164.00,101.00,102.00,1056.00,537.00,819.00,309.00,349.00,438.00,356.00,469.00,1956.00,2291.00,39.00,526.00,352.00,869.00,735.00
84093 (Sandy),24049.00,0.01,101696.00,126872.00,39.70,7688.00,3.12,41155345.00,2336.00,4910.00,2992.00,565.00,24.20,4677046.00,1761.00,1023.00,442.00,344.00,164.00,182.00,345.00,920.00,399.00,687.00,239.00,180.00,392.00,149.00,214.00,1649.00,1672.00,0.00,297.00,190.00,293.00,478.00
84092 (Sandy),30304.00,0.01,105936.00,136915.00,38.20,9145.00,3.30,52253461.00,3102.00,5723.00,3387.00,583.00,22.50,5882565.00,2407.00,1148.00,507.00,273.00,106.00,174.00,248.00,1038.00,337.00,906.00,168.00,257.00,576.00,214.00,531.00,2385.00,2227.00,35.00,404.00,179.00,461.00,693.00
84088 (West Jordan),38217.00,0.01,68475.00,77603.00,30.20,11275.00,3.38,36816030.00,5397.00,3765.00,1386.00,1320.00,54.70,3877484.00,1453.00,991.00,671.00,310.00,78.00,190.00,96.00,999.00,259.00,742.00,465.00,419.00,1085.00,610.00,421.00,2429.00,3698.00,14.00,1447.00,608.00,1319.00,1140.00
84087 (Woods Cross),15081.00,0.02,79688.00,90058.00,29.70,4522.00,3.33,17351780.00,1623.00,2251.00,766.00,379.00,28.60,1853859.00,830.00,481.00,410.00,150.00,41.00,37.00,80.00,422.00,131.00,360.00,117.00,164.00,284.00,177.00,171.00,804.00,1426.00,0.00,339.00,349.00,417.00,376.00
84086 (Woodruff),340.00,0.00,54736.00,64676.00,31.70,109.00,3.12,383756.00,89.00,21.00,2.00,14.00,17.30,34825.00,32.00,2.00,0.00,3.00,0.00,0.00,0.00,14.00,0.00,4.00,3.00,3.00,7.00,4.00,9.00,7.00,15.00,5.00,37.00,10.00,10.00,13.00
84085 (Whiterocks),1173.00,0.03,54499.00,66191.00,32.20,364.00,3.22,1243487.00,235.00,95.00,19.00,6.00,55.30,108427.00,22.00,11.00,3.00,10.00,1.00,7.00,1.00,29.00,0.00,20.00,1.00,3.00,11.00,32.00,12.00,16.00,58.00,16.00,29.00,31.00,19.00,41.00
84084 (West Jordan),31371.00,0.01,63035.00,76245.00,31.40,9903.00,3.15,32091255.00,4481.00,2985.00,1475.00,749.00,57.50,3403127.00,1733.00,963.00,586.00,256.00,100.00,114.00,88.00,1056.00,246.00,599.00,302.00,242.00,713.00,670.00,446.00,1889.00,2476.00,22.00,1163.00,410.00,1077.00,908.00
84095 (South Jordan),45119.00,0.02,100279.00,118485.00,31.90,13156.00,3.43,63911559.00,4205.00,7025.00,3819.00,1393.00,27.90,7057750.00,3711.00,1733.00,946.00,527.00,71.00,276.00,280.00,1087.00,336.00,1592.00,221.00,408.00,855.00,267.00,364.00,2641.00,3237.00,86.00,1222.00,568.00,758.00,619.00
84302 (Brigham City),25068.00,0.01,58305.00,69741.00,31.70,8249.00,3.00,25366215.00,3926.00,2488.00,1203.00,865.00,35.70,2643642.00,910.00,469.00,314.00,333.00,82.00,157.00,40.00,782.00,97.00,475.00,126.00,193.00,561.00,223.00,382.00,1063.00,1519.00,100.00,475.00,522.00,1311.00,953.00
84108 (Salt Lake City),21572.00,0.01,81690.00,120610.00,35.00,8201.00,2.62,41250908.00,912.00,4844.00,5446.00,570.00,29.80,4564542.00,1140.00,675.00,198.00,253.00,418.00,114.00,512.00,1612.00,371.00,1386.00,183.00,188.00,330.00,173.00,278.00,1190.00,1137.00,0.00,227.00,64.00,162.00,322.00
84148 (Salt Lake City),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84143 (Salt Lake City),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84129 (Salt Lake City),40162.00,0.01,64520.00,75913.00,32.80,12317.00,3.25,40313469.00,6679.00,3788.00,1388.00,744.00,61.30,4303560.00,1695.00,1182.00,604.00,361.00,70.00,173.00,118.00,1075.00,252.00,499.00,365.00,272.00,1214.00,692.00,553.00,2233.00,3954.00,62.00,1367.00,733.00,1798.00,1457.00
84128 (West Valley City),30550.00,0.01,66903.00,74497.00,28.40,7742.00,3.95,24237976.00,4928.00,1787.00,456.00,261.00,76.10,2589148.00,856.00,783.00,221.00,199.00,35.00,61.00,8.00,764.00,155.00,253.00,277.00,354.00,1003.00,822.00,328.00,1450.00,3117.00,0.00,1019.00,445.00,1629.00,1304.00
84124 (Salt Lake City),22442.00,0.01,78374.00,109220.00,38.60,8349.00,2.67,38620703.00,2154.00,4357.00,3438.00,770.00,28.20,4250609.00,1525.00,786.00,383.00,225.00,184.00,177.00,276.00,770.00,370.00,1210.00,263.00,138.00,262.00,168.00,287.00,1309.00,1483.00,39.00,539.00,211.00,243.00,338.00
84123 (Salt Lake City),38328.00,0.01,54101.00,68689.00,32.80,13976.00,2.74,40463329.00,5485.00,4216.00,1789.00,1402.00,57.80,4225509.00,1726.00,951.00,949.00,506.00,139.00,231.00,116.00,1010.00,378.00,717.00,413.00,338.00,918.00,644.00,485.00,2223.00,3804.00,57.00,999.00,698.00,1374.00,1033.00
84121 (Salt Lake City),42872.00,0.01,77748.00,105527.00,39.60,15914.00,2.69,72180615.00,5038.00,8991.00,4719.00,1796.00,27.60,7914647.00,2919.00,1552.00,805.00,502.00,293.00,290.00,342.00,1110.00,773.00,1869.00,314.00,423.00,976.00,484.00,608.00,2931.00,3510.00,6.00,781.00,405.00,813.00,671.00
84120 (West Valley City),52489.00,0.01,56971.00,67791.00,30.20,14346.00,3.65,41204282.00,9247.00,3326.00,1133.00,946.00,78.30,4428627.00,1639.00,704.00,410.00,288.00,102.00,197.00,79.00,1104.00,288.00,506.00,430.00,496.00,1279.00,1126.00,504.00,2015.00,4542.00,0.00,1971.00,1134.00,3245.00,2563.00
84301 (Bear River City),952.00,0.02,64116.00,72332.00,34.40,301.00,3.16,982980.00,187.00,118.00,27.00,19.00,20.00,103808.00,52.00,15.00,12.00,20.00,1.00,12.00,0.00,17.00,4.00,15.00,1.00,0.00,8.00,10.00,9.00,30.00,49.00,7.00,20.00,23.00,68.00,30.00
84118 (Salt Lake City),41017.00,0.01,57275.00,66159.00,29.20,10979.00,3.73,30790875.00,6567.00,2503.00,580.00,460.00,74.80,3274969.00,1180.00,1239.00,470.00,279.00,40.00,168.00,65.00,639.00,226.00,525.00,412.00,420.00,778.00,782.00,378.00,1815.00,4108.00,26.00,1782.00,715.00,2240.00,1977.00
84117 (Salt Lake City),25396.00,0.01,59280.00,89473.00,39.50,10487.00,2.39,41048012.00,2686.00,5232.00,2932.00,1332.00,32.30,4331743.00,1856.00,934.00,458.00,397.00,132.00,114.00,271.00,850.00,406.00,923.00,219.00,167.00,589.00,188.00,362.00,1381.00,1858.00,0.00,456.00,268.00,440.00,428.00
84116 (Salt Lake City),35486.00,0.01,42335.00,54030.00,29.60,10688.00,3.28,23866960.00,4773.00,2283.00,1009.00,1004.00,85.60,2553144.00,680.00,581.00,303.00,94.00,121.00,175.00,40.00,546.00,280.00,290.00,232.00,240.00,1849.00,1339.00,428.00,1194.00,2700.00,18.00,1434.00,360.00,2356.00,1039.00
84115 (Salt Lake City),26542.00,0.01,36796.00,48132.00,32.50,10904.00,2.40,21385381.00,3318.00,2996.00,1403.00,2825.00,75.50,2210859.00,833.00,317.00,383.00,153.00,128.00,408.00,101.00,654.00,185.00,440.00,234.00,228.00,968.00,694.00,199.00,1556.00,1794.00,84.00,787.00,204.00,901.00,1228.00
84113 (Salt Lake City),250.00,0.00,10500.00,14821.00,20.60,14.00,7.00,7164.00,7.00,14.00,12.00,53.00,57.20,699.00,3.00,0.00,2.00,2.00,4.00,0.00,0.00,19.00,3.00,3.00,3.00,4.00,5.00,7.00,7.00,8.00,14.00,0.00,0.00,0.00,2.00,3.00
84112 (Salt Lake City),1610.00,0.00,15840.00,61932.00,21.00,166.00,4.99,372152.00,47.00,110.00,114.00,131.00,56.00,37590.00,30.00,3.00,14.00,13.00,26.00,6.00,4.00,116.00,29.00,22.00,18.00,22.00,36.00,38.00,47.00,51.00,97.00,0.00,0.00,3.00,9.00,21.00
84111 (Salt Lake City),10694.00,0.01,26767.00,39666.00,33.60,5734.00,1.81,9243175.00,1181.00,1581.00,853.00,1996.00,68.10,940773.00,396.00,257.00,180.00,84.00,75.00,187.00,43.00,362.00,222.00,227.00,151.00,40.00,678.00,242.00,162.00,614.00,663.00,0.00,172.00,83.00,254.00,288.00
84109 (Salt Lake City),24808.00,0.01,77775.00,101096.00,36.80,9027.00,2.73,38660853.00,1764.00,5983.00,3683.00,821.00,24.50,4250751.00,1906.00,839.00,480.00,209.00,171.00,173.00,404.00,966.00,326.00,1040.00,251.00,225.00,287.00,285.00,155.00,1490.00,1831.00,0.00,308.00,205.00,437.00,425.00
84119 (West Valley City),51682.00,0.01,44254.00,54509.00,29.90,15988.00,3.08,36127907.00,8358.00,2774.00,1023.00,2304.00,80.20,3807772.00,1245.00,972.00,484.00,192.00,62.00,234.00,185.00,543.00,167.00,333.00,266.00,402.00,1617.00,1569.00,979.00,2264.00,4548.00,81.00,2274.00,907.00,2593.00,2001.00
84304 (Cache Junction),96.00,0.01,50000.00,70193.00,32.50,28.00,3.43,88736.00,12.00,13.00,4.00,2.00,20.80,9371.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,3.00,1.00,4.00,1.00,3.00,8.00,0.00,4.00,1.00,3.00,2.00
84305 (Clarkston),781.00,0.01,65363.00,73909.00,31.50,248.00,3.15,896890.00,164.00,79.00,23.00,7.00,10.50,89913.00,32.00,13.00,15.00,12.00,0.00,0.00,12.00,14.00,1.00,8.00,1.00,6.00,3.00,36.00,16.00,17.00,47.00,5.00,29.00,3.00,46.00,21.00
84306 (Collinston),404.00,0.01,65154.00,73274.00,33.50,130.00,3.11,444543.00,74.00,29.00,15.00,11.00,19.10,45943.00,20.00,5.00,0.00,4.00,0.00,0.00,0.00,17.00,1.00,7.00,8.00,3.00,4.00,3.00,5.00,18.00,23.00,8.00,13.00,8.00,28.00,30.00
84307 (Corinne),1503.00,0.01,56220.00,82931.00,32.10,495.00,3.03,1866469.00,285.00,170.00,56.00,50.00,36.50,185683.00,45.00,31.00,17.00,16.00,2.00,4.00,2.00,63.00,1.00,38.00,6.00,2.00,20.00,6.00,12.00,93.00,70.00,30.00,12.00,33.00,93.00,93.00
84308 (Cornish),351.00,0.00,48961.00,71106.00,31.90,102.00,3.44,355003.00,67.00,34.00,9.00,3.00,43.90,35582.00,32.00,4.00,0.00,2.00,2.00,0.00,0.00,6.00,0.00,3.00,6.00,2.00,4.00,2.00,4.00,11.00,14.00,33.00,4.00,1.00,13.00,10.00
84309 (Deweyville),539.00,0.01,60188.00,69449.00,37.30,188.00,2.87,639072.00,117.00,50.00,15.00,4.00,15.60,64054.00,22.00,8.00,0.00,7.00,0.00,0.00,0.00,12.00,1.00,10.00,6.00,0.00,6.00,6.00,8.00,18.00,34.00,2.00,20.00,16.00,31.00,45.00
84310 (Eden),4416.00,0.03,88650.00,112019.00,43.00,1421.00,3.10,7191124.00,644.00,637.00,387.00,175.00,14.50,759464.00,360.00,139.00,24.00,31.00,12.00,17.00,2.00,192.00,19.00,116.00,62.00,34.00,28.00,116.00,106.00,249.00,163.00,17.00,151.00,89.00,69.00,145.00
84311 (Fielding),539.00,0.01,69347.00,76889.00,31.60,176.00,3.06,610977.00,87.00,32.00,23.00,19.00,21.50,64522.00,33.00,5.00,0.00,4.00,0.00,1.00,0.00,28.00,1.00,12.00,13.00,6.00,4.00,3.00,8.00,27.00,25.00,16.00,11.00,11.00,44.00,30.00
84312 (Garland),4566.00,0.01,59999.00,69695.00,30.20,1428.00,3.20,4549510.00,805.00,336.00,126.00,65.00,27.70,461090.00,166.00,51.00,20.00,34.00,18.00,1.00,0.00,88.00,2.00,78.00,52.00,30.00,69.00,69.00,58.00,111.00,179.00,85.00,100.00,135.00,425.00,167.00
84313 (Grouse Creek),87.00,0.01,56696.00,65069.00,30.40,35.00,2.43,123973.00,14.00,11.00,0.00,4.00,41.60,11250.00,13.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,3.00,0.00,9.00,2.00,0.00,1.00,4.00
84314 (Honeyville),1158.00,0.01,52549.00,62476.00,33.60,366.00,3.16,1115673.00,251.00,78.00,51.00,20.00,21.40,112052.00,53.00,20.00,12.00,13.00,0.00,1.00,0.00,53.00,1.00,10.00,7.00,7.00,6.00,24.00,18.00,19.00,51.00,2.00,48.00,10.00,66.00,53.00
84315 (Hooper),8544.00,0.01,84120.00,91934.00,31.80,2444.00,3.50,9732945.00,1153.00,856.00,380.00,100.00,21.60,1034770.00,361.00,370.00,285.00,96.00,3.00,31.00,13.00,164.00,83.00,254.00,46.00,112.00,167.00,99.00,136.00,276.00,706.00,0.00,263.00,158.00,182.00,329.00
84316 (Howell),256.00,0.01,72768.00,74928.00,31.00,91.00,2.81,294154.00,48.00,26.00,8.00,3.00,18.60,31630.00,16.00,2.00,3.00,3.00,1.00,1.00,0.00,6.00,0.00,4.00,2.00,0.00,6.00,3.00,0.00,4.00,15.00,8.00,3.00,2.00,16.00,16.00
84317 (Huntsville),2684.00,0.02,83738.00,100295.00,43.50,921.00,2.91,4193500.00,385.00,404.00,256.00,84.00,13.90,443065.00,236.00,101.00,10.00,16.00,4.00,6.00,6.00,130.00,14.00,59.00,41.00,42.00,14.00,41.00,56.00,146.00,107.00,10.00,74.00,47.00,37.00,98.00
84318 (Hyde Park),4638.00,0.02,70633.00,92648.00,29.00,1282.00,3.62,5005207.00,422.00,735.00,447.00,128.00,19.30,536569.00,259.00,94.00,75.00,56.00,38.00,29.00,30.00,219.00,32.00,112.00,41.00,29.00,84.00,57.00,50.00,211.00,190.00,27.00,52.00,55.00,142.00,66.00
84319 (Hyrum),8757.00,0.01,58207.00,70638.00,27.20,2434.00,3.60,7488854.00,1168.00,807.00,284.00,161.00,48.80,776118.00,147.00,113.00,75.00,76.00,12.00,79.00,14.00,334.00,71.00,194.00,32.00,36.00,199.00,152.00,58.00,326.00,396.00,9.00,172.00,123.00,651.00,320.00
84320 (Lewiston),2274.00,0.01,54207.00,70149.00,31.20,715.00,3.17,2266094.00,386.00,236.00,71.00,62.00,36.40,226042.00,126.00,25.00,8.00,15.00,9.00,6.00,3.00,54.00,2.00,15.00,59.00,4.00,32.00,48.00,23.00,84.00,87.00,64.00,36.00,40.00,192.00,75.00
