Zip.Code,Population,Growth.Rate,Med.HH.Inc,Avg.HH.Inc,Med.Age,Households,HH.Size,Health.Insurance,HS.Diploma,Bachelor.Degree,Grad.Degree,Businesses,Diversity.Index,Dental.Services,Management,Finance,Computer,Engineering,Social.Science,Community.Service,Legal,Education,Arts,Healthcare,Healthcare.Support,Protective.Service,Food.Prep,Maintenance,Personal.Care,Sales,Office.Admin,Farming,Construction,Repair,Production,Transportation
84321 (Logan),45948.00,0.01,42019.00,58180.00,25.20,14489.00,3.01,34528554.00,3845.00,6050.00,2589.00,1736.00,48.00,3570605.00,1911.00,665.00,515.00,484.00,273.00,276.00,41.00,2496.00,645.00,674.00,429.00,221.00,1225.00,726.00,872.00,2285.00,3002.00,227.00,671.00,534.00,2662.00,1052.00
84324 (Mantua),773.00,0.02,76055.00,84034.00,42.50,255.00,3.03,968098.00,169.00,119.00,55.00,13.00,16.60,102242.00,43.00,36.00,5.00,22.00,0.00,4.00,0.00,42.00,0.00,18.00,0.00,2.00,11.00,10.00,8.00,12.00,65.00,1.00,11.00,14.00,31.00,31.00
84325 (Mendon),2320.00,0.01,77769.00,101112.00,30.70,638.00,3.62,2911777.00,284.00,332.00,125.00,34.00,16.10,307206.00,117.00,40.00,32.00,28.00,1.00,12.00,2.00,106.00,3.00,52.00,19.00,19.00,14.00,23.00,6.00,78.00,99.00,50.00,70.00,8.00,56.00,68.00
84036 (Kamas),7471.00,0.06,61436.00,79368.00,35.20,2492.00,3.00,8631461.00,1288.00,926.00,306.00,241.00,40.10,894955.00,385.00,61.00,27.00,84.00,6.00,39.00,5.00,100.00,74.00,178.00,64.00,54.00,193.00,321.00,95.00,318.00,476.00,4.00,407.00,213.00,71.00,172.00
84056 (Hill Afb),3272.00,0.02,43958.00,52898.00,22.60,887.00,3.17,1712223.00,184.00,208.00,69.00,79.00,49.40,184069.00,67.00,64.00,18.00,17.00,2.00,19.00,0.00,9.00,0.00,33.00,18.00,32.00,64.00,0.00,63.00,68.00,68.00,0.00,56.00,114.00,19.00,44.00
84057 (Orem),37904.00,0.01,53707.00,68457.00,27.90,11114.00,3.40,31782814.00,3497.00,4976.00,1761.00,1556.00,59.40,3331187.00,1223.00,731.00,970.00,172.00,84.00,255.00,115.00,1147.00,511.00,504.00,371.00,204.00,998.00,618.00,448.00,1880.00,2585.00,155.00,873.00,410.00,1078.00,977.00
84058 (Orem),34084.00,0.02,56257.00,72748.00,26.20,10122.00,3.24,30446258.00,2275.00,4530.00,2295.00,1213.00,49.30,3136648.00,1467.00,845.00,722.00,210.00,32.00,279.00,144.00,1369.00,490.00,620.00,619.00,275.00,1113.00,396.00,377.00,2230.00,2923.00,53.00,643.00,353.00,754.00,731.00
84060 (Park City),8434.00,0.02,88418.00,121223.00,39.00,3179.00,2.64,15550232.00,588.00,2315.00,1294.00,1396.00,60.20,1782645.00,780.00,272.00,128.00,132.00,9.00,39.00,11.00,88.00,296.00,181.00,17.00,57.00,306.00,575.00,143.00,652.00,307.00,0.00,68.00,2.00,100.00,212.00
84061 (Peoa),576.00,0.02,77343.00,86778.00,35.40,216.00,2.64,799204.00,91.00,64.00,37.00,17.00,26.40,85792.00,33.00,8.00,4.00,9.00,0.00,1.00,1.00,14.00,7.00,14.00,3.00,10.00,12.00,34.00,9.00,20.00,32.00,1.00,27.00,18.00,5.00,15.00
84062 (Pleasant Grove),46793.00,0.01,72153.00,89736.00,26.20,12712.00,3.68,47553975.00,3510.00,6834.00,3183.00,967.00,28.00,5022458.00,2085.00,813.00,1043.00,396.00,33.00,236.00,64.00,1729.00,423.00,1173.00,422.00,249.00,856.00,633.00,894.00,2759.00,2876.00,21.00,879.00,437.00,860.00,943.00
84063 (Randlett),809.00,0.03,45382.00,55678.00,31.20,255.00,3.16,751432.00,184.00,23.00,13.00,18.00,69.40,63062.00,27.00,0.00,2.00,5.00,0.00,0.00,0.00,10.00,3.00,10.00,1.00,1.00,1.00,28.00,11.00,23.00,31.00,0.00,31.00,7.00,16.00,29.00
84064 (Randolph),729.00,0.00,55775.00,64581.00,32.80,248.00,2.94,871858.00,188.00,49.00,6.00,46.00,16.50,79235.00,69.00,4.00,0.00,6.00,0.00,0.00,0.00,29.00,0.00,8.00,6.00,6.00,14.00,12.00,19.00,16.00,32.00,13.00,75.00,21.00,20.00,27.00
84065 (Riverton),41329.00,0.03,90335.00,104706.00,29.80,11020.00,3.75,48577340.00,5043.00,4933.00,2290.00,1154.00,22.60,5237251.00,2980.00,1180.00,732.00,418.00,59.00,124.00,146.00,1435.00,368.00,946.00,251.00,487.00,743.00,576.00,568.00,2434.00,3288.00,78.00,1032.00,788.00,962.00,967.00
84066 (Roosevelt),13919.00,0.03,59171.00,72327.00,29.30,4321.00,3.19,14727509.00,2469.00,953.00,353.00,745.00,44.20,1412946.00,382.00,94.00,32.00,65.00,25.00,59.00,22.00,321.00,39.00,229.00,98.00,50.00,194.00,170.00,117.00,325.00,657.00,39.00,783.00,283.00,170.00,518.00
84067 (Roy),38760.00,0.01,61844.00,70689.00,31.30,12722.00,3.04,38837077.00,6190.00,3626.00,1125.00,668.00,45.60,4074391.00,1601.00,950.00,409.00,385.00,56.00,170.00,59.00,911.00,211.00,783.00,292.00,403.00,739.00,650.00,592.00,1932.00,2823.00,91.00,1260.00,1037.00,1914.00,1154.00
84327 (Newton),754.00,0.01,52249.00,68910.00,33.00,225.00,3.35,700023.00,94.00,101.00,28.00,24.00,22.00,73926.00,42.00,1.00,0.00,4.00,3.00,3.00,0.00,22.00,0.00,13.00,0.00,23.00,6.00,29.00,8.00,25.00,56.00,3.00,34.00,12.00,24.00,15.00
84328 (Paradise),1522.00,0.01,65006.00,77588.00,35.80,453.00,3.36,1585644.00,233.00,146.00,133.00,25.00,12.50,167501.00,80.00,22.00,18.00,29.00,2.00,19.00,3.00,72.00,6.00,18.00,21.00,9.00,9.00,13.00,18.00,42.00,94.00,59.00,61.00,10.00,45.00,21.00
84329 (Park Valley),236.00,0.01,54758.00,66137.00,33.20,72.00,3.24,259216.00,51.00,29.00,0.00,4.00,42.00,23523.00,35.00,2.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,1.00,5.00,4.00,1.00,7.00,1.00,24.00,5.00,0.00,3.00,10.00
84330 (Plymouth),389.00,0.02,60498.00,91432.00,33.40,120.00,3.24,495367.00,88.00,30.00,16.00,12.00,17.10,52313.00,30.00,8.00,0.00,3.00,1.00,0.00,0.00,8.00,1.00,10.00,5.00,1.00,6.00,5.00,3.00,10.00,17.00,12.00,4.00,3.00,17.00,14.00
84331 (Portage),425.00,0.02,61002.00,91107.00,33.10,137.00,3.10,563534.00,95.00,33.00,17.00,4.00,17.00,59512.00,31.00,9.00,0.00,4.00,1.00,0.00,0.00,9.00,1.00,11.00,5.00,2.00,6.00,6.00,4.00,11.00,18.00,13.00,4.00,3.00,19.00,15.00
84332 (Providence),9550.00,0.01,63726.00,80100.00,30.60,2903.00,3.29,10027983.00,870.00,1470.00,1012.00,234.00,19.40,1056873.00,529.00,221.00,95.00,52.00,50.00,80.00,5.00,470.00,113.00,230.00,89.00,71.00,180.00,98.00,167.00,339.00,548.00,54.00,177.00,75.00,306.00,152.00
84333 (Richmond),3078.00,0.01,56008.00,66900.00,30.90,943.00,3.26,2832534.00,546.00,371.00,148.00,70.00,18.50,292204.00,170.00,40.00,49.00,28.00,20.00,0.00,0.00,87.00,8.00,30.00,29.00,11.00,93.00,64.00,32.00,154.00,141.00,67.00,81.00,56.00,125.00,67.00
84334 (Riverside),185.00,0.01,68731.00,76311.00,32.00,76.00,2.43,261847.00,30.00,11.00,8.00,15.00,21.50,27652.00,11.00,2.00,0.00,1.00,0.00,0.00,0.00,10.00,0.00,4.00,4.00,2.00,2.00,1.00,3.00,9.00,9.00,6.00,4.00,4.00,15.00,10.00
84002 (Altonah),269.00,0.03,60233.00,71032.00,31.90,87.00,3.09,298662.00,53.00,16.00,13.00,2.00,12.60,29913.00,16.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00,4.00,8.00,0.00,0.00,5.00,1.00,3.00,2.00,6.00,2.00,14.00,6.00,8.00,7.00
84035 (Jensen),876.00,0.02,54687.00,69886.00,32.00,310.00,2.83,963340.00,150.00,61.00,0.00,28.00,29.50,95996.00,41.00,1.00,0.00,11.00,0.00,0.00,0.00,22.00,1.00,8.00,3.00,4.00,12.00,19.00,7.00,18.00,68.00,1.00,38.00,24.00,27.00,47.00
84037 (Kaysville),38047.00,0.02,91789.00,107043.00,29.50,10558.00,3.60,47607688.00,2893.00,6504.00,3337.00,912.00,18.80,5167661.00,2343.00,1066.00,835.00,460.00,70.00,175.00,233.00,1378.00,281.00,807.00,261.00,346.00,601.00,542.00,551.00,2029.00,2375.00,14.00,465.00,421.00,631.00,693.00
84038 (Laketown),326.00,0.00,53137.00,65370.00,38.20,121.00,2.69,430607.00,66.00,37.00,6.00,22.00,13.20,39643.00,30.00,1.00,0.00,0.00,1.00,0.00,0.00,9.00,0.00,3.00,6.00,1.00,3.00,28.00,2.00,8.00,10.00,14.00,18.00,7.00,2.00,9.00
84039 (Lapoint),925.00,0.03,55837.00,66132.00,30.90,274.00,3.38,927662.00,187.00,69.00,19.00,28.00,56.40,80763.00,17.00,7.00,2.00,6.00,2.00,5.00,1.00,24.00,2.00,17.00,0.00,1.00,8.00,23.00,9.00,14.00,48.00,13.00,25.00,26.00,15.00,26.00
84040 (Layton),25594.00,0.02,88899.00,108949.00,34.40,7875.00,3.25,36709562.00,2254.00,4239.00,1947.00,337.00,31.20,3969820.00,1661.00,1009.00,454.00,568.00,90.00,92.00,92.00,783.00,241.00,700.00,151.00,199.00,586.00,170.00,363.00,1425.00,1805.00,31.00,491.00,424.00,540.00,540.00
84041 (Layton),49672.00,0.02,57998.00,71430.00,28.70,15942.00,3.11,48280243.00,6140.00,5872.00,1929.00,1935.00,49.40,5029053.00,2215.00,1197.00,783.00,416.00,172.00,341.00,154.00,1258.00,170.00,981.00,280.00,458.00,1606.00,535.00,650.00,2179.00,3749.00,106.00,1233.00,833.00,1653.00,1290.00
84042 (Lindon),10825.00,0.02,88524.00,104758.00,27.80,2702.00,3.99,11882669.00,650.00,1573.00,793.00,569.00,31.20,1280696.00,537.00,240.00,267.00,26.00,25.00,21.00,117.00,290.00,116.00,258.00,159.00,109.00,186.00,160.00,96.00,746.00,631.00,26.00,157.00,124.00,78.00,225.00
84043 (Lehi),61504.00,0.03,76174.00,89768.00,25.30,15679.00,3.92,58539664.00,4361.00,9564.00,3000.00,1346.00,27.70,6266833.00,3136.00,1604.00,1537.00,747.00,134.00,329.00,217.00,1355.00,470.00,1513.00,447.00,523.00,1163.00,637.00,652.00,2947.00,3341.00,37.00,1061.00,630.00,1120.00,1004.00
84044 (Magna),27879.00,0.01,57238.00,68633.00,29.30,8048.00,3.46,23588739.00,4692.00,1436.00,364.00,357.00,63.50,2485967.00,610.00,412.00,378.00,202.00,70.00,124.00,153.00,397.00,81.00,233.00,229.00,266.00,513.00,541.00,260.00,1347.00,2614.00,59.00,1030.00,585.00,1560.00,1384.00
84045 (Saratoga Springs),24240.00,0.05,76890.00,93426.00,23.30,5797.00,4.18,22282516.00,1337.00,3635.00,1296.00,281.00,26.80,2398292.00,1219.00,497.00,893.00,276.00,94.00,154.00,109.00,742.00,241.00,786.00,152.00,279.00,223.00,186.00,177.00,906.00,1084.00,53.00,290.00,247.00,330.00,546.00
84046 (Manila),795.00,0.00,41529.00,57876.00,43.70,318.00,2.35,1001944.00,187.00,88.00,25.00,73.00,18.20,92243.00,70.00,0.00,7.00,0.00,0.00,0.00,8.00,17.00,0.00,0.00,3.00,5.00,21.00,22.00,7.00,28.00,22.00,23.00,21.00,7.00,8.00,25.00
84047 (Midvale),30451.00,0.01,50731.00,63034.00,32.40,12256.00,2.48,31964189.00,4355.00,3448.00,1600.00,2092.00,64.00,3319473.00,1295.00,954.00,528.00,343.00,68.00,184.00,94.00,690.00,293.00,635.00,354.00,248.00,1302.00,698.00,474.00,1642.00,3131.00,13.00,970.00,578.00,857.00,754.00
84049 (Midway),6047.00,0.03,79828.00,109539.00,38.20,2011.00,3.01,9663536.00,493.00,849.00,575.00,162.00,22.80,1082802.00,395.00,139.00,82.00,14.00,0.00,20.00,4.00,153.00,42.00,155.00,22.00,48.00,65.00,199.00,53.00,267.00,323.00,2.00,224.00,64.00,71.00,76.00
84050 (Morgan),11191.00,0.03,78641.00,95936.00,32.40,3322.00,3.37,14146423.00,1629.00,1644.00,665.00,308.00,12.50,1498050.00,727.00,195.00,98.00,129.00,45.00,32.00,41.00,331.00,37.00,283.00,80.00,86.00,98.00,114.00,177.00,437.00,416.00,44.00,428.00,191.00,328.00,236.00
84051 (Mountain Home),549.00,0.03,58597.00,69038.00,31.80,177.00,3.10,598498.00,110.00,30.00,27.00,11.00,10.40,59957.00,32.00,0.00,1.00,1.00,0.00,0.00,0.00,15.00,7.00,16.00,0.00,0.00,12.00,1.00,7.00,2.00,10.00,4.00,31.00,13.00,18.00,12.00
84052 (Myton),1485.00,0.03,50162.00,62260.00,32.70,504.00,2.94,1656317.00,286.00,41.00,43.00,59.00,56.80,140575.00,33.00,8.00,2.00,11.00,1.00,1.00,0.00,17.00,3.00,18.00,2.00,1.00,22.00,37.00,5.00,34.00,47.00,49.00,88.00,35.00,41.00,69.00
84053 (Neola),655.00,0.03,62373.00,80663.00,32.10,195.00,3.30,834312.00,142.00,52.00,18.00,23.00,27.50,69853.00,18.00,4.00,1.00,1.00,4.00,10.00,0.00,15.00,1.00,16.00,0.00,2.00,3.00,3.00,7.00,7.00,16.00,3.00,39.00,7.00,7.00,39.00
84054 (North Salt Lake),19688.00,0.03,80027.00,103419.00,30.50,6300.00,3.12,27093395.00,1973.00,3018.00,1728.00,748.00,43.30,2903977.00,1124.00,598.00,415.00,99.00,49.00,134.00,196.00,529.00,162.00,686.00,153.00,64.00,498.00,297.00,379.00,950.00,1333.00,0.00,352.00,303.00,298.00,677.00
84055 (Oakley),1281.00,0.01,70996.00,81330.00,35.10,428.00,2.99,1479357.00,265.00,126.00,95.00,57.00,22.70,157790.00,83.00,23.00,3.00,14.00,1.00,2.00,3.00,47.00,29.00,40.00,5.00,36.00,36.00,88.00,20.00,29.00,68.00,0.00,63.00,27.00,11.00,41.00
84013 (Cedar Valley),1659.00,0.02,77550.00,80600.00,28.60,463.00,3.58,1609160.00,224.00,112.00,40.00,17.00,31.00,168426.00,78.00,23.00,8.00,14.00,4.00,26.00,2.00,38.00,16.00,47.00,13.00,46.00,18.00,29.00,5.00,130.00,109.00,19.00,52.00,42.00,36.00,64.00
84014 (Centerville),16786.00,0.02,83451.00,101418.00,34.80,5367.00,3.12,23834933.00,1701.00,3035.00,1494.00,563.00,19.50,2573584.00,1047.00,664.00,338.00,196.00,57.00,90.00,168.00,649.00,169.00,465.00,68.00,115.00,334.00,150.00,119.00,1012.00,1217.00,24.00,193.00,152.00,286.00,375.00
84015 (Clearfield),65609.00,0.01,61098.00,70730.00,28.60,20241.00,3.23,60811322.00,8985.00,6404.00,1843.00,1295.00,45.60,6358772.00,2765.00,1963.00,1108.00,892.00,132.00,318.00,228.00,1408.00,226.00,1280.00,773.00,836.00,1134.00,701.00,793.00,2707.00,4433.00,177.00,1373.00,1377.00,2674.00,1933.00
84016 (Clearfield),1108.00,0.00,41213.00,49408.00,21.10,36.00,3.31,68305.00,20.00,26.00,0.00,49.00,86.30,6707.00,80.00,50.00,33.00,20.00,6.00,10.00,13.00,49.00,33.00,41.00,20.00,22.00,34.00,37.00,35.00,97.00,126.00,1.00,62.00,41.00,45.00,51.00
84017 (Coalville),4599.00,0.02,68753.00,82284.00,35.30,1547.00,2.95,5806922.00,820.00,430.00,251.00,190.00,32.90,579598.00,224.00,55.00,38.00,37.00,1.00,0.00,3.00,119.00,21.00,80.00,33.00,39.00,120.00,140.00,67.00,266.00,244.00,63.00,246.00,58.00,113.00,136.00
84018 (Croydon),155.00,0.04,83333.00,108519.00,28.20,36.00,4.31,166030.00,18.00,19.00,10.00,5.00,12.20,17708.00,12.00,3.00,2.00,2.00,0.00,1.00,1.00,2.00,1.00,4.00,0.00,1.00,0.00,2.00,5.00,4.00,4.00,1.00,6.00,3.00,2.00,1.00
84020 (Draper),46894.00,0.02,98007.00,120729.00,31.60,12766.00,3.36,63378287.00,4667.00,6811.00,4109.00,1899.00,32.00,6860291.00,3851.00,1270.00,1024.00,372.00,220.00,257.00,368.00,1045.00,286.00,1358.00,312.00,218.00,715.00,222.00,485.00,3128.00,2671.00,34.00,567.00,356.00,511.00,723.00
84021 (Duchesne),3668.00,0.03,51053.00,64509.00,33.50,1184.00,2.97,3693735.00,734.00,209.00,89.00,180.00,24.90,351878.00,133.00,2.00,6.00,26.00,13.00,2.00,2.00,111.00,6.00,16.00,29.00,36.00,49.00,54.00,30.00,70.00,94.00,7.00,151.00,41.00,42.00,129.00
84022 (Dugway),901.00,0.01,64603.00,71246.00,30.00,319.00,2.74,840733.00,173.00,94.00,23.00,44.00,48.10,89883.00,62.00,7.00,0.00,12.00,6.00,0.00,0.00,5.00,7.00,1.00,0.00,27.00,19.00,16.00,11.00,12.00,39.00,6.00,17.00,19.00,9.00,26.00
84023 (Dutch John),267.00,0.00,38897.00,58062.00,43.10,105.00,2.39,331894.00,62.00,30.00,8.00,46.00,17.90,30555.00,22.00,0.00,3.00,0.00,0.00,0.00,3.00,6.00,0.00,0.00,1.00,2.00,7.00,7.00,2.00,9.00,8.00,8.00,7.00,3.00,3.00,8.00
84024 (Echo),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84025 (Farmington),21544.00,0.02,87979.00,109796.00,30.10,6158.00,3.40,28255787.00,1531.00,3742.00,2060.00,530.00,18.80,3067514.00,1286.00,839.00,546.00,213.00,69.00,79.00,316.00,844.00,341.00,836.00,150.00,142.00,250.00,149.00,384.00,1224.00,1151.00,0.00,300.00,244.00,163.00,450.00
84026 (Fort Duchesne),1537.00,0.03,43000.00,55524.00,30.40,455.00,3.38,1340022.00,322.00,43.00,39.00,82.00,55.90,112194.00,23.00,1.00,0.00,2.00,2.00,2.00,0.00,42.00,3.00,2.00,7.00,7.00,16.00,40.00,10.00,34.00,80.00,3.00,55.00,29.00,13.00,67.00
84027 (Fruitland),585.00,0.03,49508.00,58108.00,48.20,236.00,2.48,746562.00,140.00,31.00,15.00,15.00,22.90,68732.00,16.00,1.00,0.00,0.00,2.00,1.00,0.00,17.00,0.00,2.00,2.00,7.00,11.00,4.00,2.00,4.00,8.00,0.00,30.00,8.00,5.00,14.00
84028 (Garden City),807.00,0.00,52669.00,65332.00,38.00,314.00,2.57,1116795.00,167.00,91.00,14.00,93.00,12.80,102817.00,73.00,3.00,0.00,1.00,2.00,0.00,0.00,23.00,1.00,7.00,14.00,3.00,7.00,69.00,5.00,20.00,24.00,34.00,44.00,18.00,6.00,22.00
84029 (Grantsville),10337.00,0.02,65354.00,71365.00,30.80,3186.00,3.24,9865974.00,1827.00,1056.00,338.00,222.00,23.90,1005860.00,432.00,165.00,61.00,124.00,47.00,14.00,95.00,364.00,47.00,145.00,136.00,88.00,205.00,173.00,94.00,355.00,842.00,34.00,186.00,304.00,316.00,542.00
84031 (Hanna),98.00,0.03,50000.00,58107.00,49.20,36.00,2.72,113880.00,25.00,5.00,2.00,5.00,23.60,10484.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,1.00,1.00,0.00,6.00,1.00,1.00,2.00
84032 (Heber City),22233.00,0.04,64150.00,83036.00,30.90,6538.00,3.36,23367845.00,2194.00,2899.00,1540.00,830.00,47.70,2423481.00,919.00,508.00,174.00,139.00,9.00,85.00,51.00,928.00,132.00,541.00,121.00,108.00,544.00,762.00,271.00,1046.00,1053.00,23.00,682.00,284.00,339.00,602.00
84033 (Henefer),568.00,0.02,58656.00,61652.00,31.40,185.00,3.07,509786.00,106.00,57.00,17.00,19.00,12.00,50462.00,18.00,7.00,0.00,3.00,0.00,0.00,0.00,25.00,1.00,3.00,3.00,7.00,7.00,18.00,5.00,18.00,24.00,1.00,18.00,11.00,19.00,7.00
84034 (Ibapah),34.00,0.00,41420.00,56027.00,37.50,9.00,3.67,26890.00,7.00,3.00,1.00,23.00,34.60,2462.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,1.00,3.00,0.00,1.00,2.00
84001 (Altamont),875.00,0.03,67025.00,78322.00,31.40,282.00,3.10,1007546.00,165.00,65.00,27.00,50.00,19.70,101851.00,40.00,1.00,4.00,18.00,3.00,0.00,1.00,28.00,16.00,23.00,4.00,1.00,9.00,13.00,4.00,21.00,29.00,6.00,41.00,20.00,16.00,34.00
84003 (American Fork),46867.00,0.02,80427.00,99727.00,26.90,12089.00,3.86,50578916.00,3369.00,6975.00,3454.00,1666.00,23.40,5417718.00,2355.00,994.00,886.00,384.00,205.00,211.00,178.00,1560.00,418.00,867.00,348.00,405.00,783.00,637.00,715.00,2395.00,2384.00,58.00,842.00,427.00,634.00,677.00
84004 (Alpine),10763.00,0.02,119891.00,161446.00,28.10,2682.00,4.01,17636989.00,471.00,1802.00,1031.00,263.00,15.10,1995204.00,729.00,387.00,161.00,14.00,16.00,9.00,122.00,290.00,130.00,189.00,49.00,122.00,185.00,100.00,131.00,557.00,422.00,0.00,192.00,70.00,58.00,99.00
84005 (Eagle Mountain),28038.00,0.06,66941.00,81185.00,21.20,6558.00,4.28,22096220.00,1743.00,3639.00,759.00,171.00,31.40,2352566.00,1263.00,457.00,537.00,413.00,30.00,117.00,23.00,685.00,249.00,570.00,174.00,261.00,337.00,136.00,219.00,1288.00,1725.00,0.00,586.00,430.00,531.00,537.00
84006 (Bingham Canyon),906.00,0.01,52631.00,57675.00,33.30,305.00,2.97,781321.00,175.00,34.00,1.00,16.00,38.30,77939.00,28.00,37.00,95.00,2.00,1.00,12.00,0.00,1.00,26.00,13.00,0.00,0.00,1.00,3.00,2.00,51.00,170.00,0.00,20.00,33.00,1.00,1.00
84007 (Bluebell),888.00,0.03,65982.00,78881.00,31.90,262.00,3.39,947082.00,158.00,59.00,27.00,14.00,23.10,98773.00,37.00,1.00,7.00,18.00,3.00,1.00,2.00,27.00,13.00,19.00,5.00,2.00,7.00,13.00,4.00,24.00,34.00,6.00,40.00,16.00,13.00,39.00
84008 (Bonanza),22.00,0.03,45419.00,57693.00,28.30,19.00,1.16,58142.00,4.00,1.00,0.00,1.00,71.40,4868.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00
84009 (South Jordan),19975.00,0.03,90582.00,103683.00,28.10,5212.00,3.83,21942945.00,1391.00,2981.00,1439.00,286.00,34.90,2404899.00,1430.00,781.00,526.00,266.00,23.00,62.00,42.00,586.00,222.00,666.00,65.00,99.00,265.00,115.00,126.00,1078.00,1619.00,0.00,447.00,346.00,311.00,175.00
84010 (Bountiful),47424.00,0.01,70329.00,91910.00,34.60,16256.00,2.90,64718524.00,5039.00,8129.00,3906.00,1886.00,27.40,6903168.00,2423.00,1338.00,765.00,414.00,110.00,342.00,360.00,1347.00,622.00,1096.00,599.00,293.00,1181.00,642.00,496.00,2672.00,3147.00,69.00,669.00,475.00,1064.00,1156.00